62016CO0134(01),62011CO0593,N46
62016CO0134(01),62011CO0593,N28
62016CO0134(01),62011CO0593,N47
62016CO0134(01),62016CO0134,N21
62015CO0462,61980CJ0036,N13
62015CO0462,61980CJ0036,N30
62015CO0462,61982CJ0297,N8
62015CO0462,61982CJ0297,N30
62015CO0462,62002CJ0312,N22
62015CO0462,62002CJ0312,N24
62015CO0462,62002CJ0312,N19
62015CO0462,62004CJ0084,N35
62015CO0462,62004CJ0084,N24
62015CO0462,62004CJ0084,N15
62015CO0462,62004CJ0084,N19
62015CO0462,62005CJ0427,N19
62015CO0462,62005CJ0427,N14
62015CO0462,62005CJ0427,N25
62015CO0462,62005CJ0427,N12
62015CO0462,62005CJ0427,N21
62015CO0462,62005CJ0427,N15
62015CO0462,62005CJ0427,N26
62015CO0462,62005CJ0427,N16
62015CO0462,62005CJ0427,N27
62015CO0462,62005CJ0427,N17
62015CO0462,62005CJ0427,N28
62015CO0462,62005CJ0427,N13
62015CO0462,62005CJ0427,N24
62015CO0462,62005CJ0427,N18
62015CO0462,62005CJ0427,N29
62015CO0462,62005CJ0427,N10
62015CO0462,62005CJ0427,N20
62015CO0227,62010CJ0628,N111
62015CO0227,62010CJ0628,N42
62015CO0227,62015CO0103,N27
62015CO0227,62015CO0103,N56
62015CO0152,62013CJ0128,N36
62015CO0152,62013CJ0128,N16
62015CO0152,62013CJ0128,N32
62015CO0152,62013CJ0128,N17
62015CO0152,62013CJ0128,N10
62015CO0152,62013CJ0128,N11
62015CO0152,62013CJ0128,N15
62015CO0152,62013CJ0128,N31
62015CO0152,62013CJ0128,N30
62015CO0152,62013CJ0128,N35
62015CO0152,62013CJ0128,N33
62014CO0164,62005CO0162,N25
62014CO0164,62005CO0162,N21
62014CO0164,62007CJ0425,N24
62014CO0164,62007CJ0425,N22
62014CO0164,62011CJ0583,N92
62014CO0164,62011CJ0583,N40
62014CO0164,62011CJ0583,N100
62014CO0164,62011CJ0583,N41
62014CO0164,62011CJ0583,N90
62014CO0164,62012CJ0274,N31
62014CO0164,62012CJ0274,N33
62014CO0164,62012CO0248,N21
62014CO0164,62012CO0248,N34
62014CO0164,62013CJ0447,N32
62014CO0164,62013CJ0447,N21
62013CO0304,62010CJ0115,N31
62013CO0304,62010CJ0115,N32
62013CO0304,62010CJ0115,N33
62013CO0304,62010CJ0115,N34
62013CO0304,62011CJ0249,N25
62013CO0304,62011CJ0544,N26
62013CO0071,62001CJ0076,N64
62013CO0071,62003CJ0005,N22
62013CO0071,62006CJ0487,N90
62013CO0071,62009CJ0321,N102
62013CO0071,62011CJ0445,N57
62013CO0071,62012CJ0287,N47
62013CO0643,61981CJ0026,N25
62013CO0643,61998CJ0352,N25
62013CO0643,62008CO0580,N43
62013CO0643,62009CJ0460,N28
62013CO0643,62012CO0289,N43
62012CO0552,62001CJ0076,N67
62012CO0552,62006CJ0487,N55
62012CO0552,62011CJ0445,N32
62012CO0552,62011CJ0445,N33
62012CO0248,61982CJ0011,N22
62012CO0248,61982CJ0011,N23
62012CO0248,61982CJ0011,N24
62012CO0248,61982CJ0011,N26
62012CO0248,61996CJ0386,N22
62012CO0248,61996CJ0386,N23
62012CO0248,61996CJ0386,N24
62012CO0248,61996CJ0386,N26
62012CO0248,62006CJ0015,N21
62012CO0248,62007CJ0445,N24
62012CO0248,62010CJ0463,N21
62012CO0248,62010CJ0463,N33
62012CO0248,62011CJ0583,N32
62013CO0024,61999CJ0313,N17
62013CO0024,62000CO0116,N26
62013CO0024,62003CJ0017,N32
62013CO0024,62003CJ0017,N33
62013CO0024,62005CJ0380,N23
62013CO0024,62007CJ0241,N17
62013CO0024,62010CJ0571,N39
62013CO0024,62010CJ0571,N40
62013CO0024,62010CJ0571,N41
62013CO0024,62010CJ0571,N42
62013CO0024,62010CJ0571,N43
62013CO0024,62010CO0194,N44
62013CO0024,62011CJ0592,N14
62013CO0024,62011CJ0592,N15
62013CO0024,62011CJ0592,N16
62013CO0167,62009CJ0517,N13
62013CO0167,62009CJ0517,N15
62013CO0167,62009CJ0517,N20
62009CO0038,61982CO0318,N25
62009CO0038,61989CO0104,N18
62009CO0038,61990CO0294,N26
62009CO0038,62003CO0012,N19
62009CO0038,62003CO0012,N25
62009CO0038,62003CO0012,N27
62009CO0038,62003CO0012,N28
62009CO0038,62003CO0012,N32
62009CO0038,62003CO0013,N19
62009CO0038,62003CO0013,N25
62009CO0038,62003CO0013,N27
62009CO0038,62003CO0013,N28
62009CO0038,62003CO0013,N32
62009CO0038,62006CO0323,N21
62009CO0038,62007CO0197,N18
62009CO0038,62007CO0197,N25
62009CO0038,62007CO0204,N35
62009CO0038,62007CO0498,N26
62009CO0038,62007CO0498,N27
62009CO0038,62009CJ0038,N3
62009CO0038,62009CO0254,N19
62009CO0038,62009CO0254,N28
62009CO0038,62010CO0451,N35
62009CO0038,62010CO0451,N42
62009CO0038,62011CO0208,N20
62009CO0038,62011CO0208,N21
62009CO0038,62012CO0005,N32
62013CO0082,61971CJ0080,N11
62013CO0082,61991CJ0083,N12
62013CO0082,62008CJ0101,N12
62013CO0082,62008CJ0226,N11
62013CO0082,62010CJ0416,N11
62011CO0584,62002CJ0189,N77
62011CO0584,62003CJ0551,N73
62011CO0584,62004CJ0105,N71
62011CO0584,62005CO0171,N77
62011CO0584,62008CO0517,N111
62011CO0584,62009CJ0254,N73
62011CO0584,62010CJ0628,N70
62011CO0584,62010CJ0628,N71
62011CO0584,62010CO0448,N75
62011CO0584,62010CO0448,N115
62011CO0584,62011CJ0264,N73
62011CO0584,62011CJ0288,N78
62012CO0542,62011CJ0036,N15
62012CO0542,62011CJ0036,N20
62012CO0542,62011CJ0036,N21
62012CO0542,62011CJ0036,N22
62012CO0542,62011CJ0036,N23
62012CO0542,62011CJ0036,N24
62012CO0542,62011CJ0036,N25
62012CO0542,62011CJ0036,N26
62012CO0154,61981CJ0108,N31
62012CO0154,61987CJ0265,N32
62012CO0154,61988CJ0143,N31
62012CO0154,61989CJ0092,N31
62012CO0154,62005CJ0068,N46
62012CO0154,62008CJ0033,N50
62012CO0154,62008CJ0033,N51
62012CO0154,62008CJ0033,N52
62012CO0154,62008CJ0365,N18
62012CO0154,62008CJ0365,N24
62012CO0154,62008CJ0365,N25
62012CO0154,62008CJ0365,N26
62012CO0154,62008CJ0365,N27
62012CO0154,62008CJ0365,N28
62012CO0154,62008CJ0365,N36
62012CO0154,62008CJ0365,N42
62012CO0154,62008CJ0365,N45
62012CO0154,62008CJ0365,N51
62012CO0154,62008CJ0365,N52
62012CO0154,62008CJ0365,N53
62012CO0154,62010CJ0309,N29
62012CO0154,62010CJ0309,N39
62012CO0154,62010CJ0500,N19
62011CO0650,62010CJ0115,N15
62011CO0650,62010CJ0115,N16
62011CO0650,62010CJ0115,N17
62011CO0650,62010CJ0115,N24
62011CO0650,62010CJ0115,N25
62011CO0650,62011CJ0249,N22
62011CO0593,62005CJ0362,N29
62011CO0593,62009CJ0521,N44
62011CO0593,62009CJ0521,N45
62011CO0593,62010CJ0628,N34
62011CO0593,62010CJ0628,N40
62011CO0593,62010CJ0628,N42
62011CO0593,62010CJ0628,N43
62011CO0593,62010CO0367,N27
62011CO0593,62011CO0493,N28
62012CO0318,61981CJ0141,N7
62012CO0318,61990CJ0320,N5
62012CO0318,61991CJ0083,N4
62012CO0318,62002CO0190,N6
62012CO0318,62006CJ0445,N4
62012CO0318,62009CO0181,N5
62012CO0318,62009CO0181,N6
62012CO0318,62009CO0181,N7
62012CO0318,62012CO0185,N5
62012CO0318,62012CO0185,N6
62012CO0318,62012CO0185,N7
62011CO0491,61998CJ0247,N40
62011CO0491,61998CJ0247,N41
62011CO0491,61998CJ0247,N45
62011CO0491,61998CJ0284,N27
62011CO0491,62002CJ0189,N28
62011CO0491,62005CO0368,N58
62011CO0491,62006CJ0304,N53
62011CO0491,62007CO0074,N27
62011CO0491,62008CJ0280,N28
62011CO0491,62008CO0231,N27
62010CO0519,62006CJ0427,N26
62010CO0519,62010CO0613,N27
62010CO0519,62010CO0613,N28
62009CO0535,61998CJ0284,N18
62009CO0535,61999CJ0280,N19
62009CO0535,62000CJ0179,N70
62009CO0535,62000CJ0204,N17
62009CO0535,62000CJ0204,N18
62009CO0535,62000CJ0204,N19
62009CO0535,62002CJ0037,N72
62009CO0535,62006CJ0487,N20
62009CO0535,62007CJ0514,N34
62009CO0535,62008CJ0089,N88
62007CO0309,61970CO0040,N5
62007CO0309,61970CO0040,N6
62007CO0309,61996CO0116,N5
62007CO0309,61996CO0116,N6
62007CO0309,62007CJ0309,N1
62007CO0309,62009CO0345,N5
62009CO0451,61976CJ0083,N20
62009CO0451,61993CJ0046,N23
62009CO0451,61993CJ0046,N40
62009CO0451,62006CJ0120,N20
62009CO0451,62006CJ0120,N21
62009CO0451,62006CJ0120,N22
62009CO0451,62006CJ0120,N23
62009CO0451,62006CJ0445,N39
62009CO0451,62007CJ0047,N30
62009CO0451,62007CJ0431,N38
62008CO0517,61992CJ0136,N62
62008CO0517,62000CJ0298,N54
62008CO0517,62002CJ0189,N77
62008CO0517,62005CJ0214,N62
62008CO0517,62005CJ0273,N80
62008CO0517,62005CJ0326,N34
62008CO0517,62006CJ0362,N54
61998CO0064,61998CJ0064,N1
61998CO0064,61998CJ0064,N2
61998CO0064,61998CJ0064,N3
61998CO0064,61998CJ0064,N4
61998CO0064,61998CJ0064,N5
61998CO0064,61998CJ0064,N6
61998CO0064,61998CJ0064,N7
61998CO0064,61998CJ0064,N8
61998CO0064,61998CJ0064,N9
61998CO0064,61998CJ0064,N10
61998CO0064,61998CJ0064,N11
61998CO0064,61998CJ0064,N12
61998CO0064,61998CJ0064,N13
61998CO0064,61998CJ0064,N14
61998CO0064,61998CJ0064,N15
61998CO0064,61998CJ0064,N16
61998CO0064,61998CJ0064,N17
61998CO0064,62005CJ0012,N12
61998CO0064,62006CJ0255,N12
62009CO0039,61986CJ0012,N79
62009CO0039,61989CJ0359,N38
62009CO0039,61993CJ0046,N79
62009CO0039,61993CJ0280,N47
62009CO0039,61998CJ0037,N79
62009CO0039,61999CJ0035,N56
62009CO0039,62000CJ0137,N47
62009CO0039,62000CJ0456,N47
62009CO0039,62001CJ0014,N38
62009CO0039,62001CJ0198,N56
62009CO0039,62002CJ0037,N40
62009CO0039,62003CJ0040,N38
62009CO0039,62003CJ0198,N57
62009CO0039,62003CJ0295,N38
62009CO0039,62003CJ0295,N40
62009CO0039,62005CJ0282,N57
62009CO0039,62006CJ0445,N79
62009CO0039,62007CJ0440,N57
62009CO0069,61981CJ0060,N37
62009CO0069,61996CJ0147,N38
62009CO0069,62004CJ0154,N50
62009CO0069,62006CJ0150,N46
62009CO0069,62006CJ0150,N49
62009CO0069,62006CJ0521,N52
62009CO0069,62006CJ0521,N53
62009CO0069,62006CJ0521,N55
62009CO0069,62006CO0163,N37
62008CO0444,61962CJ0025,N36
62008CO0444,61962CJ0025,N75
62008CO0444,61982CJ0191,N38
62008CO0444,61985CJ0097,N44
62008CO0444,61988CJ0070,N32
62008CO0444,61989CJ0309,N66
62008CO0444,61995CJ0142,N38
62008CO0444,61995CO0270,N41
62008CO0444,61997CO0095,N31
62008CO0444,61997CO0095,N63
62008CO0444,61997CO0180,N63
62008CO0444,61998CJ0452,N31
62008CO0444,61998CJ0452,N33
62008CO0444,61998CJ0452,N40
62008CO0444,61998CJ0452,N44
62008CO0444,62000CJ0050,N70
62008CO0444,62000CO0300,N44
62008CO0444,62001CJ0122,N46
62008CO0444,62004CJ0417,N31
62008CO0444,62004CJ0417,N33
62008CO0444,62005CJ0214,N52
62008CO0444,62005CJ0260,N36
62008CO0444,62005CJ0260,N70
62008CO0444,62005CJ0273,N46
62008CO0444,62006CJ0015,N63
62008CO0444,62006CO0150,N71
62008CO0444,62007CJ0431,N54
62008CO0444,62007CJ0445,N75
62008CO0444,62008CO0355,N38
62008CO0444,62008CO0416,N52
62005CO0326(01),61989CO0104,N47
62005CO0326(01),61990CO0294,N34
62005CO0326(01),61991CO0107,N47
62005CO0326(01),62002CO0186,N38
62005CO0326(01),62003CO0365,N5
62005CO0326(01),62004CO0105,N47
62005CO0326(01),62004CO0105,N48
62005CO0326(01),62004CO0206,N34
62005CO0326(01),62005CJ0326,N9
62005CO0326(01),62005CO0326,N8
62005CO0326(01),62006CO0122,N34
62005CO0326(01),62006CO0122,N35
62005CO0326(01),62006CO0122,N38
62008CO0355,61962CJ0025,N41
62008CO0355,61976CJ0026,N43
62008CO0355,61976CJ0026,N44
62008CO0355,61982CJ0191,N44
62008CO0355,61991CJ0198,N41
62008CO0355,61991CJ0225,N41
62008CO0355,62000CO0300,N44
62008CO0355,62004CO0342,N42
62008CO0355,62004CO0342,N43
62008CO0355,62005CJ0260,N41
62008CO0372,61970CJ0041,N34
62008CO0372,61988CJ0152,N34
62008CO0372,61996CJ0386,N34
62008CO0372,62002CJ0189,N45
62008CO0372,62005CO0171,N45
62008CO0372,62006CJ0125,N34
62008CO0372,62007CO0503,N40
62008CO0372,62008CO0006,N40
62008CO0372,62008CO0006,N52
62008CO0060,61984CO0141,N63
62008CO0060,61989CJ0309,N47
62008CO0060,61999CO0329,N62
62008CO0060,62000CJ0298,N31
62008CO0060,62000CO0471,N64
62008CO0060,62001CO0096,N50
62008CO0060,62004CJ0411,N71
62008CO0060,62006CO0459,N38
62008CO0060,62007CO0236,N69
62007CO0175,62006CJ0005,N19
62007CO0175,62006CJ0005,N20
62007CO0175,62006CJ0005,N21
62007CO0175,62006CJ0005,N22
62007CO0175,62006CJ0005,N26
62007CO0175,62006CJ0005,N28
62007CO0175,62006CJ0005,N29
62006CO0200,62006CJ0005,N22
62006CO0200,62006CJ0005,N23
62006CO0200,62006CJ0005,N25
62006CO0200,62006CJ0005,N27
62006CO0200,62006CJ0005,N30
62006CO0200,62006CJ0005,N31
62006CO0200,62006CJ0005,N34
62006CO0200,62006CJ0005,N35
62006CO0200,62006CJ0005,N38
62006CO0466,61979CJ0138,N5
62006CO0466,62005CJ0441,N44
62006CO0466,62006CJ0005,N50
62006CO0466,62006CJ0005,N51
62006CO0466,62006CJ0005,N55
62006CO0466,62006CJ0005,N56
62008CO0207,61991CJ0165,N34
62008CO0207,62001CJ0462,N24
62008CO0207,62001CJ0462,N25
62008CO0207,62005CJ0119,N35
62007CO0109,61996CJ0054,N22
62007CO0109,61996CJ0054,N24
62007CO0109,61997CJ0103,N24
62007CO0109,61999CJ0516,N24
62007CO0109,62000CJ0017,N24
62007CO0109,62003CJ0053,N22
62007CO0109,62004CJ0506,N23
62007CO0109,62005CJ0246,N22
62007CO0023,61989CJ0309,N88
62007CO0023,62003CJ0347,N86
62007CO0023,62003CJ0347,N99
62007CO0023,62003CJ0347,N100
62007CO0023,62003CJ0347,N101
62007CO0023,62003CJ0347,N102
62007CO0023,62005CJ0222,N48
62007CO0023,62005CJ0222,N52
62007CO0479,61991CO0213,N24
62007CO0479,62001CO0404,N24
62007CO0479,62003CO0156,N19
62007CO0479,62004CO0007,N18
62007CO0479,62004CO0404,N16
62007CO0479,62004CO0404,N17
62007CO0479,62007CO0479,N31
62007CO0236,62000CO0471,N23
62007CO0236,62003CO0192,N37
62007CO0236,62004CO0342,N37
62007CO0236,62004CO0342,N38
62006CO0421,61975CJ0023,N53
62006CO0421,61976CJ0117,N52
62006CO0421,61977CJ0106,N43
62006CO0421,61980CJ0066,N54
62006CO0421,61986CJ0300,N52
62006CO0421,61987CJ0359,N53
62006CO0421,61991CJ0325,N56
62006CO0421,62001CJ0078,N56
62006CO0421,62001CJ0397,N44
62006CO0421,62002CJ0387,N44
62006CO0421,62003CJ0453,N1
62006CO0421,62003CJ0453,N4
62006CO0421,62003CJ0453,N28
62006CO0421,62003CJ0453,N29
62006CO0421,62003CJ0453,N30
62006CO0421,62003CJ0453,N31
62006CO0421,62003CJ0453,N32
62006CO0421,62003CJ0453,N33
62006CO0421,62003CJ0453,N34
62006CO0421,62003CJ0453,N35
62006CO0421,62003CJ0453,N58
62006CO0421,62003CJ0453,N59
62006CO0421,62003CJ0453,N60
62006CO0421,62003CJ0453,N61
62006CO0421,62003CJ0453,N63
62006CO0421,62005CJ0119,N43
62007CO0100,62004CJ0243,N28
62007CO0100,62007CO0100,N37
62007CO0099,61998CJ0352,N15
62007CO0099,61999CJ0248,N15
62007CO0099,62000CO0345,N14
62007CO0099,62000CO0345,N15
62007CO0099,62001CO0488,N15
62006CO0459,61998CO0043,N48
62006CO0459,61998CO0364,N25
62006CO0459,62004CJ0167,N32
62006CO0459,62004CJ0411,N31
62006CO0459,62004CO0404,N23
62006CO0459,62005CO0326,N23
62005CO0162,61992CJ0053,N65
62005CO0162,61995CJ0299,N59
62005CO0162,61995CO0019,N65
62005CO0162,61996CO0059,N44
62005CO0162,61996CO0140,N49
62005CO0162,61998CJ0352,N43
62005CO0162,61999CJ0248,N43
62005CO0162,61999CJ0315,N49
62005CO0162,62001CO0488,N41
62005CO0162,62001CO0488,N43
62005CO0162,62001CO0488,N65
62005CO0162,62002CJ0360,N65
62005CO0418,61995CJ0185,N23
62005CO0418,61995CO0019,N21
62005CO0418,61995CO0019,N23
62005CO0418,61998CJ0352,N22
62005CO0418,62000CO0345,N21
62005CO0418,62001CJ0076,N22
62005CO0418,62001CJ0076,N23
62005CO0418,62003CJ0131,N22
62003CO0261,61994CJ0196,N22
62003CO0261,61997CJ0288,N17
62003CO0261,61997CJ0288,N22
62003CO0261,61997CJ0288,N23
62003CO0261,61997CJ0288,N27
62003CO0261,62003CO0069,N17
62003CO0261,62003CO0069,N23
62003CO0261,62003CO0069,N24
62002CO0381,61995CJ0354,N23
62002CO0381,61999CJ0117,N14
62002CO0381,61999CJ0117,N21
62002CO0381,61999CJ0117,N22
62002CO0381,61999CJ0117,N23
62002CO0381,61999CJ0117,N25
62002CO0381,61999CJ0117,N28
61989CO0104,61972CO0006,N86
61989CO0104,61972CO0006,N87
61989CO0104,61982CO0318,N51
61989CO0104,61989CJ0104,N1
61989CO0104,61989CJ0104,N6
61989CO0104,61990CO0294,N41
61989CO0104,61990CO0294,N43
61989CO0104,61990CO0294,N45
61989CO0104,61990CO0294,N51
61989CO0104,61992CO0222,N51
62003CO0069,61997CJ0288,N16
62003CO0069,61997CJ0288,N18
62003CO0069,61997CJ0288,N20
62002CO0258,61998CJ0352,N31
62002CO0258,61998CJ0451,N34
62002CO0258,62000CJ0041,N31
62002CO0258,62000CJ0050,N34
62002CO0258,62000CJ0050,N58
62002CO0258,62000CJ0142,N34
62002CO0258,62002CO0258,N36
62002CO0258,62002CO0258,N41
62002CO0082,61985CJ0337,N26
62002CO0082,61985CJ0337,N40
62001CO0151,61984CJ0222,N46
62001CO0151,61986CJ0222,N46
62001CO0151,61989CJ0309,N33
62001CO0151,61989CJ0309,N40
62001CO0151,61998CJ0451,N36
62001CO0151,61998CO0447,N45
62001CO0151,61999CJ0269,N45
62001CO0151,61999CJ0269,N47
62001CO0151,62000CO0341,N33
61999CO0208,61986CJ0114,N24
61999CO0208,61986CJ0131,N22
61999CO0208,61995CJ0057,N24
61999CO0208,61997CJ0443,N24
62000CO0430,61999CO0111,N33
62000CO0030,61987CJ0265,N59
62000CO0030,61989CJ0348,N70
62000CO0030,61993CJ0415,N37
62000CO0030,61994CJ0295,N59
62000CO0030,61996CJ0370,N71
62000CO0030,61996CJ0370,N73
62000CO0030,61999CJ0015,N68
62000CO0030,61999CJ0015,N69
62000CO0030,61999CJ0015,N72
62000CO0030,61999CJ0340,N37
61999CO0351,61963CJ0106,N53
61999CO0351,61970CJ0041,N53
61999CO0351,61987CJ0354,N53
61999CO0351,61988CJ0229,N40
61999CO0351,61989CJ0309,N62
61999CO0351,61989CJ0309,N63
61999CO0351,61994CJ0209,N45
61999CO0351,61994CJ0209,N46
61999CO0351,61995CJ0008,N35
61999CO0351,61995CJ0008,N36
61999CO0351,61995CO0010,N40
61999CO0351,61995CO0087,N40
61999CO0351,61996CO0303,N35
61999CO0351,61996CO0409,N46
61999CO0351,61996CO0409,N57
61999CO0351,61996CO0409,N58
61999CO0351,61996CO0409,N59
61999CO0351,61997CO0317,N35
61999CO0351,61997CO0317,N36
61999CO0351,61998CJ0352,N36
61999CO0351,61998CO0447,N40
61999CO0351,61998CO0447,N45
61999CO0351,61999CO0351,N55
61999CO0352,61963CJ0106,N67
61999CO0352,61987CJ0354,N67
61999CO0352,61988CJ0229,N42
61999CO0352,61992CJ0136,N53
61999CO0352,61994CJ0209,N47
61999CO0352,61994CJ0209,N59
61999CO0352,61995CO0010,N42
61999CO0352,61995CO0010,N47
61999CO0352,61995CO0087,N42
61999CO0352,61996CO0409,N59
61999CO0352,61997CO0442,N53
61999CO0352,61998CO0437,N53
61999CO0352,61998CO0447,N42
61999CO0352,61999CO0352,N50
61999CO0352,61999CO0352,N64
61999CO0352,62000CO0300,N57
62000CO0345,61956CJ0009,N41
62000CO0345,61962CJ0025,N49
62000CO0345,61988CJ0070,N42
62000CO0345,61989CJ0309,N49
62000CO0345,61990CJ0313,N39
62000CO0345,61995CO0010,N45
62000CO0345,61998CJ0082,N31
62000CO0345,61998CJ0210,N31
62000CO0345,61998CJ0284,N28
62000CO0345,61998CJ0352,N30
62000CO0345,61998CO0447,N45
62000CO0345,61998CO0447,N49
61999CO0307,61979CJ0812,N30
61999CO0307,61987CJ0070,N27
61999CO0307,61989CJ0069,N27
61999CO0307,61996CJ0149,N24
61999CO0307,61996CJ0149,N25
61999CO0307,61996CJ0149,N27
61999CO0307,61996CJ0149,N29
61999CO0307,61998CJ0300,N25
61999CO0300,61995CO0010,N55
61999CO0300,61995CO0087,N55
61999CO0300,61997CO0317,N37
61999CO0300,61998CJ0284,N34
61999CO0300,61998CJ0284,N36
61999CO0300,61998CJ0352,N37
61999CO0300,62000CO0300,N55
61999CO0301,61989CJ0309,N17
61999CO0301,61989CJ0358,N17
61999CO0301,61995CO0010,N47
61999CO0301,61995CO0087,N47
61999CO0301,61997CO0317,N33
61999CO0301,61998CJ0284,N30
61999CO0301,61998CJ0284,N32
61999CO0301,61998CO0352,N33
61999CO0301,62000CO0300,N47
61998CO0447,61989CJ0309,N18
61998CO0447,61989CJ0309,N64
61998CO0447,61989CJ0309,N20
61998CO0447,61989CJ0309,N65
61998CO0447,61995CO0087,N35
61998CO0447,61995CO0087,N67
61998CO0447,61998CJ0082,N23
61998CO0447,61998CJ0082,N59
61998CO0447,61998CJ0210,N43
61998CO0447,61998CJ0210,N59
61998CO0447,61998CJ0284,N30
61998CO0447,61998CJ0284,N53
61998CO0447,61998CJ0284,N31
61998CO0447,61998CJ0284,N55
61998CO0447,61998CJ0352,N34
61998CO0447,61998CJ0352,N35
61998CO0447,61998CJ0352,N56
62000CO0300,61962CJ0025,N36
62000CO0300,61982CJ0011,N31
62000CO0300,61982CJ0011,N46
62000CO0300,61988CJ0152,N11
62000CO0300,61988CJ0152,N46
62000CO0300,61989CJ0309,N20
62000CO0300,61989CJ0309,N36
62000CO0300,61994CJ0209,N33
62000CO0300,61994CJ0209,N34
62000CO0300,61994CJ0209,N46
62000CO0300,61995CJ0390,N25
62000CO0300,61995CJ0390,N26
62000CO0300,61995CJ0390,N27
62000CO0300,61995CJ0390,N28
62000CO0300,61995CJ0390,N29
62000CO0300,61995CJ0390,N30
62000CO0300,61995CJ0390,N46
62000CO0300,61995CO0010,N26
62000CO0300,61995CO0010,N37
62000CO0300,61995CO0087,N38
62000CO0300,61995CO0087,N37
62000CO0300,61999CO0329,N89
62000CO0300,61999CO0329,N34
61998CO0017,61989CJ0260,N41
61998CO0017,61989CJ0260,N8
61998CO0017,61990CJ0163,N18
61998CO0017,61991CJ0002,N18
61998CO0017,61993CJ0312,N18
61998CO0017,61996CJ0262,N18
61999CO0329,61985CO0310,N15
61999CO0329,61985CO0310,N94
61999CO0329,61986CO0119,N30
61999CO0329,61986CO0119,N75
61999CO0329,61987CO0376,N21
61999CO0329,61987CO0376,N22
61999CO0329,61987CO0376,N89
61999CO0329,61995CO0399,N46
61999CO0329,61995CO0399,N90
61999CO0329,61998CO0159,N68
61999CO0329,61998CO0159,N62
61998CO0437,61992CJ0053,N42
61998CO0437,61992CJ0053,N34
61998CO0437,61995CJ0007,N62
61998CO0437,61995CJ0007,N29
61998CO0437,61995CJ0183,N27
61998CO0437,61995CJ0183,NN17
61998CO0437,61995CJ0183,NN20
61998CO0437,61995CJ0183,N64
61998CO0437,61995CJ0183,NN39
61998CO0437,61995CJ0183,N58
61998CO0437,61995CJ0183,NN19
61998CO0437,61997CJ0119,N66
61998CO0437,61997CJ0119,N34
61996CO0409(01),61976CO0126,N11
61996CO0409(01),61976CO0126,N06
61996CO0409(01),61976CO0126,N12
61996CO0409(01),61976CO0126,N05
61996CO0409(01),61976CO0126,N9
61998CO0364,61995CO0149,N18
61998CO0364,61995CO0149,N53
61998CO0364,61995CO0149,N23
61998CO0364,61995CO0149,N44
61998CO0364,61995CO0149,N22
61998CO0364,61995CO0149,N43
61998CO0364,61996CO0393,N41
61998CO0364,61996CO0393,N49
